No.;Time;;time 1;time 2;delay;;delay 1;delay 2;jitter
25781;107,095132;;107,095132;107,233629;0,138497;;0,136141;-0,085553;-0,221694
25866;107,233629;;107,233629;107,235985;0,002356;;-0,085553;-0,173176;-0,087623
25868;107,235985;;107,235985;107,323894;0,087909;;-0,173176;0,260581;0,433757
25899;107,323894;;107,323894;107,584979;0,261085;;0,260581;-0,048722;-0,309303
25998;107,584979;;107,584979;107,585483;0,000504;;-0,048722;-0,265862;-0,21714
25999;107,585483;;107,585483;107,634709;0,049226;;-0,265862;0,314992;0,580854
26014;107,634709;;107,634709;107,949797;0,315088;;0,314992;-0,502711;-0,817703
26073;107,949797;;107,949797;107,949893;9,6E-05;;-0,502711;0,178889;0,6816
26095;107,949893;;107,949893;108,4527;0,502807;;0,178889;0,31721;0,138321
26252;108,4527;;108,4527;108,776618;0,323918;;0,31721;0,005658;-0,311552
26344;108,776618;;108,776618;108,783326;0,006708;;0,005658;0,001005;-0,004653
26346;108,783326;;108,783326;108,784376;0,00105;;0,001005;-0,058926;-0,059931
26348;108,784376;;108,784376;108,784421;4,5E-05;;-0,058926;-1,138108;-1,079182
26354;108,784421;;108,784421;108,843392;0,058971;;-1,138108;0,976927;2,115035
26374;108,843392;;108,843392;110,040471;1,197079;;0,976927;0,220023;-0,756904
26718;110,040471;;110,040471;110,260623;0,220152;;0,220023;-0,001792;-0,221815
26751;110,260623;;110,260623;110,260752;0,000129;;-0,001792;-0,067618;-0,065826
26752;110,260752;;110,260752;110,262673;0,001921;;-0,067618;-0,112592;-0,044974
26753;110,262673;;110,262673;110,332212;0,069539;;-0,112592;0,18213;0,294722
26788;110,332212;;110,332212;110,514343;0,182131;;0,18213;1E-06;-0,182129
26826;110,514343;;110,514343;110,514344;1E-06;;1E-06;-0,000119;-0,00012
26827;110,514344;;110,514344;110,514344;0;;-0,000119;-0,07127;-0,071151
26828;110,514344;;110,514344;110,514463;0,000119;;-0,07127;0,071332;0,142602
26829;110,514463;;110,514463;110,585852;0,071389;;0,071332;3E-05;-0,071302
26832;110,585852;;110,585852;110,585909;5,7E-05;;3E-05;-0,009622;-0,009652
26833;110,585909;;110,585909;110,585936;2,7E-05;;-0,009622;-0,042915;-0,033293
26834;110,585936;;110,585936;110,595585;0,009649;;-0,042915;-0,00278;0,040135
26835;110,595585;;110,595585;110,648149;0,052564;;-0,00278;0,050495;0,053275
26846;110,648149;;110,648149;110,703493;0,055344;;0,050495;-0,077628;-0,128123
26867;110,703493;;110,703493;110,708342;0,004849;;-0,077628;-0,191185;-0,113557
26870;110,708342;;110,708342;110,790819;0,082477;;-0,191185;0,269146;0,460331
26904;110,790819;;110,790819;111,064481;0,273662;;0,269146;-0,075976;-0,345122
27020;111,064481;;111,064481;111,068997;0,004516;;-0,075976;-0,45304;-0,377064
27021;111,068997;;111,068997;111,149489;0,080492;;-0,45304;0,326983;0,780023
27051;111,149489;;111,149489;111,683021;0,533532;;0,326983;0,206549;-0,120434
